EventID,SampleID,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,MaterialSampleID,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_flag,Organic Matter Concentration (Amount or Mass)_DOC,Organic Matter Concentration (Amount or Mass)_DOC_flag,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Pigment concentrations_flag","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Picoplankton_flag","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton_flag","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton_flag",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (isotope uptake)_flag,Community Production Rate_Primary Production (Oxygen),Community Production Rate_Primary Production (Oxygen)_flag,Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (isotope uptake)_flag,Community Production Rate_Bacterial Production (respiration),Community Production Rate_Bacterial Production (respiration)_flag,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD224_2019-06,OSD224_2019-06_NPL022_1,OSD224,6/21/2019 11:30,53,4.79,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26877,not provided,1,NPL022,OSD224_2019-06_1_NPL022,OSD-Jun-2019,determining microbial composition at interface of the North Sea and Wadden Sea,Niskin bottle,"1m depth water collected from the NIOZ pier ""Jetty""",not provided,1.8,20,Sterivex,sterivex-filtered seawater,no prefiltration,0.22,no treatment,-80,16.7,30.85,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422945,PRJEB40763,PRJEB40764,PRJEB40762
OSD227_2019-06,OSD227_2019-06_NPL022_1,OSD227,6/27/2019 12:30,48.67,-3.89,estuarine biome [ENVO:01000020], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,not provided,1,NPL022,OSD227_2019-06_1_NPL022,OSD-Jun-2019,not provided,hand pump,hand pumping,"Northeast wind (53.2o), 45.6km/h (max 54km/h), cloudy",1.9,35,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,17.13,34.98,,,2.41,,1.25,,,,,,,,,,,,,,,,1100 photons/m2/s,Given unit does not match required unit (mE/m^2/s).,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422944,PRJEB40763,PRJEB40764,PRJEB40762
OSD232_2019-06,OSD232_2019-06_NPL022_1,OSD232,2019-06-21T09:00:00Z,40.8,14.34,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD232_2019-06_1_NPL022,OSD-Jun-2019,OSD_232_Prok,sampling water from the beach,tank,green water mass,0.95,45,Tank,sea water,not provided,0.22,no treatment,-20,26.28,36.57,56.5 mS/cm,,,,0,,,,,,,,,,,,8.07,,8.44 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422943,PRJEB40763,,PRJEB40762
OSD237_2019-06,OSD237_2019-06_NPL022_1,OSD237,2019-06-21T12:00:00Z,43.34,-3.01,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD237_2019-06_1_NPL022,OSD-Jun-2019,identification of microbial diversity in GETXO Marina and Bilbao Harbour,5l bucket (1m),by hand from floating jetty or pontoon,marina under tidal influences Bilbao river and salinity can drop to 3 psu at low tide,3,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,18.8,34.6,46.2181 mS/cm,,,,4,,,,,,,,,,,,8.38,,9 mg/l,Given unit does not match required unit (micromol/kg).,,,0.58 FNU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422942,PRJEB40763,PRJEB40764,PRJEB40762
OSD238_2019-06,OSD238_2019-06_NPL022_1,OSD238,2019-06-21T09:35:00Z,43.42,-2.96,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD238_2019-06_1_NPL022,OSD-Jun-2019,identification of microbial diversity of Plentzia Bay,5l bucket (1m),by hand through the deck,not provided,5,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,17.4,36.4,46.894 mS/cm,,,,8.5 - 9.7,,,,,,,,,,,,8.18,,8.09 mg/l,Given unit does not match required unit (micromol/kg).,,,0.19 FNU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422941,PRJEB40763,PRJEB40764,PRJEB40762
OSD24_2019-06,OSD24_2019-06_NPL022_1,OSD24,2019-06-21T11:47:00Z,35.19,-2.88,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,not provided,1,NPL022,OSD24_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat ,not provided,1.08,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,25,38.18,55.5 mS/cm,,,,,,,,,,30-50,,,,,,8.08,,,,,,3.97 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422982,PRJEB40763,PRJEB40764,PRJEB40762
OSD26_2019-06,OSD26_2019-06_NPL022_1,OSD26,2019-06-21T11:00:00Z,35.82,-5.75,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8367,not provided,1,NPL022,OSD26_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets from the coastline,not provided,1.44,49,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,23.5,not provided,11.29 mS/cm,,,,1,,,,,,30-50,,,,,,8.12,,,,,,5.98 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422981,PRJEB40763,PRJEB40764,PRJEB40762
OSD39_2019-06,OSD39_2019-06_NPL022_1,OSD39,2019-06-21T10:39:00Z,32.75,-79.9,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18952,off cove by South Carolina Department at Natural Resources,1,NPL022,OSD39_2019-06_1_NPL022,OSD-Jun-2019,not provided,2L Nalgene bottle,Submerged under surface to fill the bottle by hand,Prokaryotic samples,1,376,Sterivex,particulate matter,not provided,0.22,no treatment,-80,28.01,21.13,33.81 mS/cm,,,,1,,,,,,,,,,,,7.77,,6.72 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422980,PRJEB40763,PRJEB40764,PRJEB40762
OSD4_2019-06,OSD4_2019-06_NPL022_1,OSD4,2019-06-21T10:20:00Z,40.81,14.25,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD4_2019-06_1_NPL022,OSD-Jun-2019,not provided,Niskin bottle,not provided,not provided,1,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,26,37.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422987,PRJEB40763,PRJEB40764,PRJEB40762
OSD43_2019-06,OSD43_2019-06_NPL022_1,OSD43,2019-06-21T12:10:00Z,32.87,-117.26,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Pier with bucket,0,NPL022,OSD43_2019-06_1_NPL022,OSD-Jun-2019,not provided,Bucket (RNAse Away + Ethanol closed rihese 2x securelor),Pier wench,not provided,3,68,Sterivex,particulate matter,not provided,0.22,no treatment,-80,18.33,34,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422979,PRJEB40763,PRJEB40764,PRJEB40762
OSD47_2019-06,OSD47_2019-06_NPL022_1,OSD47,2019-06-21T10:45:00Z,45.5,12.42,lagoon [ENVO:00000038], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,UNIPD Boat,0,NPL022,OSD47_2019-06_1_NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.42,4,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422978,PRJEB40763,PRJEB40764,PRJEB40762
OSD48_2019-06,OSD48_2019-06_NPL022_1,OSD48,2019-06-21T08:28:00Z,45.41,12.53,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,UNIPD Boat,0,NPL022,OSD48_2019-06_1_NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.66,9,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422977,PRJEB40763,PRJEB40764,PRJEB40762
OSD49_2019-06,OSD49_2019-06_NPL022_1,OSD49,2019-06-21T12:00:00Z,45.53,13.55,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3385,Boja Vida,0,NPL022,OSD49_2019-06_1_NPL022,OSD-Jun-2019,not provided,Sampling with boat (hired Piran Aquarium),Sampling with Niskin bottle at 5m depth (Clean bucket),Cleaning and sampling was performed according to the OSD protocol,0.5,120,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,24.7,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422976,PRJEB40763,PRJEB40764,PRJEB40762
OSD54_2019-06,OSD54_2019-06_NPL022_1,OSD54,2019-06-21T11:35:00Z,43.84,-69.64,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Floating Dock,1,NPL022,OSD54_2019-06_1_NPL022,OSD-Jun-2019,collect samples off the Booth Bay Harbor Dock as part of a time series for DNA analysis and flow cytometry,5L Niskin Bottle,4 x 5L Niskin to fill a 20 L carboy,"Prokaryotic samples, not prefiltered",1.15,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,15.1,29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422975,PRJEB40763,,PRJEB40762
OSD55_2019-06,OSD55_2019-06_NPL022_1,OSD55,2019-06-21T11:39:00Z,43.86,-69.58,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Floating Dock,1,NPL022,OSD55_2019-06_1_NPL022,OSD-Jun-2019,collect samples of the Damariscotta river water for DNA analysis and flow cytometry,2.5L Niskin Bottle,9 x 2.5L Nisktin deployed to fill a 20L carboy,"Prokaryotic samples, not prefiltered",3,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,11.4,31,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422974,PRJEB40763,PRJEB40764,PRJEB40762
OSD60_2019-06,OSD60_2019-06_NPL022_1,OSD60,2019-06-21T11:40:00Z,33.33,-79.17,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Jon Boat,0,NPL022,OSD60_2019-06_1_NPL022,OSD-Jun-2019,not provided,2L Nalgene bottles,"Hand dipped, submerged under water to fill bottle",Prokaryotic samples,0.6,86,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,26.8,34.56,52.6 mS/cm,,,,1,,,,,,,,,,,,7.82,,6.68 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422973,PRJEB40763,PRJEB40764,PRJEB40762
OSD63_2019-06,OSD63_2019-06_NPL022_1,OSD63,2019-06-21T10:00:00Z,45.31,12.51,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,"CNR ""LITUS"" Boat`",0,NPL022,OSD63_2019-06_1_NPL022,OSD-Jun-2019,not provided,Washed bucket,not provided,not provided,1.3,40,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,25.47,32.04,49.50284601 mS/cm,,,,,,,,,,,,,,,,,,,,,,,,25.47294487,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422972,PRJEB40763,PRJEB40764,PRJEB40762
OSD69_2019-06,OSD69_2019-06_NPL022_1,OSD69,2019-06-21T13:50:00Z,45.46,12.26,lagoon [ENVO:00000038], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,UNIPD Boat,0,NPL022,OSD69_2019-06_1_NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.48,5,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422971,PRJEB40763,PRJEB40764,PRJEB40762
OSD70_2019-06,OSD70_2019-06_NPL022_1,OSD70,2019-06-21T07:52:00Z,45.41,12.44,mediterranean sea biome [ENVO:01000047], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,UNIPD Boat,0,NPL022,OSD70_2019-06_1_NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.66,10,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422970,PRJEB40763,PRJEB40764,PRJEB40762
OSD76_2019-06,OSD76_2019-06_NPL022_1,OSD76,2019-06-21T10:00:00Z,43.96,12.94,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Athena Research Vessel Vilaiuo,1,NPL022,OSD76_2019-06_1_NPL022,OSD-Jun-2019,prokaryotes ,10L Tanks / Multiprope,Pump,not provided,0.53,20,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,25.22,33.27,50.95 mS/cm,,,,0.5,,1.46 μm,Given unit does not match required unit (micromol/l).,0.013 μm,Given unit does not match required unit (micromol/l).,0.014 μm,Given unit does not match required unit (micromol/l).,7.37 μm,Given unit does not match required unit (micromol/l).,0.44 μm,Given unit does not match required unit (micromol/l).,8.33,,7.13 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422969,PRJEB40763,PRJEB40764,PRJEB40762
OSD77_2019-06,OSD77_2019-06_NPL022_1,OSD77,2019-06-21T10:00:00Z,43.85,13.07,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Athena Research Vessel Uzlaiuo,1,NPL022,OSD77_2019-06_1_NPL022,OSD-Jun-2019,prokaryotes ,10L Tanks / Multiprope,Pump,not provided,0.46,20,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,26.19,33.57,50.96 mS/cm,,,,0.5,,2.65 μm,Given unit does not match required unit (micromol/l).,0.055 μm,Given unit does not match required unit (micromol/l).,0.048 μm,Given unit does not match required unit (micromol/l).,7.43 μm,Given unit does not match required unit (micromol/l).,0.24 μm,Given unit does not match required unit (micromol/l).,8.33,,7.20 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422968,PRJEB40763,PRJEB40764,PRJEB40762
OSD78_2019-06,OSD78_2019-06_NPL022_1,OSD78,2019-06-21T09:00:00Z,43.57,13.6,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,not provided,0,NPL022,OSD78_2019-06_1_NPL022,OSD-Jun-2019,OSD_78_Prok,Sampling water from the beach,Tank,Clear water mass,1.1,80,Tank,sea water,not provided,0.22,no treatment,-20,24.9,35.09,53.043 mS/cm,,,,0,,,,,,,,,,,,8.48,,7.19 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422967,PRJEB40763,PRJEB40764,PRJEB40762
OSD81_2019-06,OSD81_2019-06_NPL022_1,OSD81,2019-06-07T10:20:00Z,37.01,-7.97,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=5349,Channel on shore,0,NPL022,OSD81_2019-06_1_NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,1.29,not provided,not provided,not provided,not provided,0.22,no treatment,-80,19.3,36.97,49.593 mS/cm,,,,0.2,,,,,,,,,,,,7.99,,124.20%,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422966,PRJEB40763,PRJEB40764,PRJEB40762
OSD91_2019-06,OSD91_2019-06_NPL022_1,OSD91,2019-06-21T11:10:00Z,32.74,-9.04,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25322,not provided,1,NPL022,OSD91_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation,not provided,1.05,34,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,18.2,not provided,54.4 mS/cm,,,,1,,,,,,30-50,,,,,,8.19,,,,,,4.22 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422965,PRJEB40763,PRJEB40764,PRJEB40762
OSD92_2019-06,OSD92_2019-06_NPL022_1,OSD92,2019-06-21T11:05:00Z,33.58,-7.7,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25322,not provided,1,NPL022,OSD92_2019-06_1_NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation,not provided,1.09,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,15.1,not provided,53.3 mS/cm,,,,1,,,,,,0.12 mg/l,Given unit does not match required unit (micromol/l).,,,,,8.01,,,,,,4.15 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422964,PRJEB40763,PRJEB40764,PRJEB40762
OSD99_2019-06,OSD99_2019-06_NPL022_1,OSD99,2019-06-19T10:20:00Z,45.7,13.71,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Vessel - Niskin,1,NPL022,OSD99_2019-06_1_NPL022,OSD-Jun-2019,bacterial community global sampling,Niskin bottle,Niskin and acid washed tunnel,not provided,1.91,85,Sterivex,particulate matter/ sea water,no prefiltration,0.22,no treatment,-80,19.96,35.96,,,,,1,,,,,,,,,,,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMEA7422963,PRJEB40763,PRJEB40764,PRJEB40762
