EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Fluorescence,CTD_Depth,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD100_2019-06,OSD100_2019-06_NPL022_1,OSD100_2019-06_1_NPL022,OSD100,2019-06-21T13:00:00Z,35.35,25.29,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,not provided,NPL022,OSD-Jun-2019,"surface water sampling (100lt), CTD cost, zooplankton net sampling",Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,40.5000,not provided,1.00,not provided,,not provided,,not provided,,not provided,,not provided,,8.200,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422962,PRJEB40763,PRJEB40764,PRJEB40762
OSD122_2019-06,OSD122_2019-06_NPL022_1,OSD122_2019-06_1_NPL022,OSD122,2019-06-20T07:55:00Z,29.4643,34.92646,marine pelagic biome [ENVO:01000023],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25384,self-propelled boat 48182,0,NPL022,OSD-Jun-2019,sampling for Prokaryotes,25L Jerrycan,3 acid washed 25l Jerrycans were deployed by hand from a boat,"sampling done at open sea, on surface. Water depth at sampling location-700m. Local time UTC+2",4.3,64,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,27.62,40.90,63.8844,not provided,0.50,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422961,PRJEB40763,PRJEB40764,PRJEB40762
OSD14_2019-06,OSD14_2019-06_NPL022_1,OSD14_2019-06_1_NPL022,OSD14,2019-06-24T09:45:00Z,42.484,3.135,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,3,NPL022,OSD-Jun-2019,not provided,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,4.4,120,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,20.84,37.54,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,0.057,,7.990,5.45,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422986,PRJEB40763,PRJEB40764,PRJEB40762
OSD152_2019-06,OSD152_2019-06_NPL022_1,OSD152_2019-06_1_NPL022,OSD152,2019-06-20T12:40:00Z,44.6936,-63.6403,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18822,CGS SIGMA T,1,NPL022,OSD-Jun-2019,Compass Buoy STN (HLO) has been sampled weekly since 1992 as part of the Bedford Basin Monitoring Program,30L Niskin bottle,NISKIN deployed on cable winch,filtered with peristaltic pump,1.16,14,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,15.00,26.87,not provided,0.6871,1.70,discarded value,discarded value,not provided,,not provided,,not provided,,not provided,,7.040,7.50,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422960,PRJEB40763,PRJEB40764,PRJEB40762
OSD153_2019-06,OSD153_2019-06_NPL022_1,OSD153_2019-06_1_NPL022,OSD153,2019-06-07T10:30:00Z,36.99779,-7.98166,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2360,on shore,0,NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,1.46,not provided,not provided,not provided,not provided,0.22,no treatment,-80,19.10,35.07,not provided,not provided,0.20,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,10.20,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422959,PRJEB40763,PRJEB40764,PRJEB40762
OSD159_2019-06,OSD159_2019-06_NPL022_1,OSD159_2019-06_1_NPL022,OSD159,2019-06-21T06:32:00Z,48.3588,-4.5502,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25220,Brest Somlit,2,NPL022,OSD-Jun-2019,Prokaryotes sampling,8L Niskin bottle,not provided,not provided,3,30,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,15.22,34.94,43.0770,not provided,2.00,0.023,,0.030,,not provided,,3.10,,not provided,,8.010,not provided,,0.340,,not provided,,not provided,130.20,29.30,not provided,1.14,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422958,PRJEB40763,PRJEB40764,PRJEB40762
OSD17_2019-06,OSD17_2019-06_NPL022_1,OSD17_2019-06_1_NPL022,OSD17,2019-06-24T09:40:00Z,51.4345,2.5075,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stein,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,not provided,not provided,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422985,PRJEB40763,PRJEB40764,PRJEB40762
OSD170_2019-06,OSD170_2019-06_NPL022_1,OSD170_2019-06_1_NPL022,OSD170,2019-06-24T07:20:00Z,51.2725,2.8486,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422957,PRJEB40763,PRJEB40764,PRJEB40762
OSD171_2019-06,OSD171_2019-06_NPL022_1,OSD171_2019-06_1_NPL022,OSD171,2019-06-24T07:51:00Z,51.3104,2.8486,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422956,PRJEB40763,PRJEB40764,PRJEB40762
OSD172_2019-06,OSD172_2019-06_NPL022_1,OSD172_2019-06_1_NPL022,OSD172,2019-06-24T12:33:00Z,51.373,3.2069,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422955,PRJEB40763,PRJEB40764,PRJEB40762
OSD173_2019-06,OSD173_2019-06_NPL022_1,OSD173_2019-06_1_NPL022,OSD173,2019-06-24T11:34:00Z,51.4403,3.1369,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422954,PRJEB40763,PRJEB40764,PRJEB40762
OSD174_2019-06,OSD174_2019-06_NPL022_1,OSD174_2019-06_1_NPL022,OSD174,2019-06-24T10:52:00Z,51.4711,3.0555,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422953,PRJEB40763,PRJEB40764,PRJEB40762
OSD175_2019-06,OSD175_2019-06_NPL022_1,OSD175_2019-06_1_NPL022,OSD175,2019-06-25T10:00:00Z,51.3324,2.4956,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422952,PRJEB40763,PRJEB40764,PRJEB40762
OSD176_2019-06,OSD176_2019-06_NPL022_1,OSD176_2019-06_1_NPL022,OSD176,2019-06-25T10:56:00Z,51.2752,2.61158,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422951,PRJEB40763,PRJEB40764,PRJEB40762
OSD177_2019-06,OSD177_2019-06_NPL022_1,OSD177_2019-06_1_NPL022,OSD177,2019-06-25T12:37:00Z,51.184,2.6991,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2019,LifeWatch and OSD,Niskin bottle,not provided,not provided,3,not provided,Sterivex,marine sample,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422950,PRJEB40763,PRJEB40764,PRJEB40762
OSD2_2019-06,OSD2_2019-06_NPL022_1,OSD2_2019-06_1_NPL022,OSD2,2019-06-26T13:05:00Z,48.7778,-3.9375,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,RV Neomysis,1,NPL022,OSD-Jun-2019,not provided,Hand pump,Hand pumping,few wind and foggy,4,50,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,14.16,35.21,not provided,0.5163,1.00,1.300,,0.140,,0.180,,1.60,,0.960,,7.882,5.94,unit conversion - type 3,0.906,unit conversion - type 1,not provided,,not provided,not provided,not provided,not provided,0.34,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422988,PRJEB40763,PRJEB40764,PRJEB40762
OSD210_2019-06,OSD210_2019-06_NPL022_1,OSD210_2019-06_1_NPL022,OSD210,2019-06-21T05:40:00Z,43.108,3.081,coastal wetland ecosystem [ENVO:00000230],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,none,0,NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,2.6,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,22.00,41.00,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422949,PRJEB40763,PRJEB40764,PRJEB40762
OSD211_2019-06,OSD211_2019-06_NPL022_1,OSD211_2019-06_1_NPL022,OSD211,2019-06-21T06:50:00Z,42.967,3.003,coastal wetland ecosystem [ENVO:00000230],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,none,0,NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,1.33,45,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,21.90,36.00,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422948,PRJEB40763,PRJEB40764,PRJEB40762
OSD219_2019-06,OSD219_2019-06_NPL022_1,OSD219_2019-06_1_NPL022,OSD219,2019-06-21T11:44:00Z,53.2089,-9.272833333,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25361,RV Celtic Voyager,1,NPL022,OSD-Jun-2019,not provided,CTD,not provided,not provided,2,43,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-20 to -71,14.70,33.83,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422947,PRJEB40763,not provided,PRJEB40762
OSD22_2019-06,OSD22_2019-06_NPL022_1,OSD22_2019-06_1_NPL022,OSD22,2019-06-21T06:29:00Z,43.3008,5.20583,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,Research Boat - Antedon II,2,NPL022,OSD-Jun-2019,prokaryotes diversity in the Bay of Marseille,3 x 18L Single Niskin bottle,not provided,not provided,5,35,Sterivex,not provided,not provided,0.22,no treatment,-80,20.36,38.30,51.9800,not provided,2.00,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,5.23,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422983,PRJEB40763,PRJEB40764,PRJEB40762
OSD223_2019-06,OSD223_2019-06_NPL022_1,OSD223_2019-06_1_NPL022,OSD223,2019-06-21T09:00:00Z,54.479932,18.57114,marginal sea biome [ENVO:01000046],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25674,not provided,0,NPL022,OSD-Jun-2019,Prokaryotes,10% acid washed buckets,vacuum pump (mechanical),not provided,0.5,40,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,20.80,6.30,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422946,PRJEB40763,PRJEB40764,PRJEB40762
OSD224_2019-06,OSD224_2019-06_NPL022_1,OSD224_2019-06_1_NPL022,OSD224,2019-06-21T11:30:00Z,53.001816,4.789026,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26877,not provided,1,NPL022,OSD-Jun-2019,determining microbial composition at interface of the North Sea and Wadden Sea,Niskin bottle,"1m depth water collected from the NIOZ pier ""Jetty""",not provided,1.8,20,Sterivex,sterivex-filtered seawater,no prefiltration,0.22,no treatment,-80,16.70,30.85,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,8.300,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422945,PRJEB40763,PRJEB40764,PRJEB40762
