EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Fluorescence,CTD_Depth,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD227_2019-06,OSD227_2019-06_NPL022_1,OSD227_2019-06_1_NPL022,OSD227,2019-06-27T12:30:00Z,48.6698,-3.886,estuarine biome [ENVO:01000020],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,not provided,1,NPL022,OSD-Jun-2019,not provided,hand pump,hand pumping,"Northeast wind (53.2o), 45.6km/h (max 54km/h), cloudy",1.9,35,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,17.13,34.98,not provided,2.4100,1.25,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,1.100,unit conversion - type 1,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422944,PRJEB40763,PRJEB40764,PRJEB40762
OSD232_2019-06,OSD232_2019-06_NPL022_1,OSD232_2019-06_1_NPL022,OSD232,2019-06-21T09:00:00Z,40.803126,14.340037,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD-Jun-2019,OSD_232_Prok,sampling water from the beach,tank,green water mass,0.95,45,Tank,sea water,not provided,0.22,no treatment,-20,26.28,36.57,56.5000,not provided,0.00,not provided,,not provided,,not provided,,not provided,,not provided,,8.070,8.44,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422943,PRJEB40763,not provided,PRJEB40762
OSD237_2019-06,OSD237_2019-06_NPL022_1,OSD237_2019-06_1_NPL022,OSD237,2019-06-21T12:00:00Z,43.3387,-3.0145,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD-Jun-2019,identification of microbial diversity in GETXO Marina and Bilbao Harbour,5l bucket (1m),by hand from floating jetty or pontoon,marina under tidal influences Bilbao river and salinity can drop to 3 psu at low tide,3,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,18.80,34.60,46.2181,not provided,4.00,not provided,,not provided,,not provided,,not provided,,not provided,,8.380,9.00,unit conversion - type 3,not provided,,0.58,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422942,PRJEB40763,PRJEB40764,PRJEB40762
OSD238_2019-06,OSD238_2019-06_NPL022_1,OSD238_2019-06_1_NPL022,OSD238,2019-06-21T09:35:00Z,43.42472,-2.959722,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25219,not provided,1,NPL022,OSD-Jun-2019,identification of microbial diversity of Plentzia Bay,5l bucket (1m),by hand through the deck,not provided,5,not provided,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,17.40,36.40,46.8940,not provided,9.10,not provided,,not provided,,not provided,,not provided,,not provided,,8.180,8.09,unit conversion - type 3,not provided,,0.19,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422941,PRJEB40763,PRJEB40764,PRJEB40762
OSD24_2019-06,OSD24_2019-06_NPL022_1,OSD24_2019-06_1_NPL022,OSD24,2019-06-21T11:47:00Z,35.1927,-2.88005,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,not provided,1,NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat,not provided,1.08,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,25.00,38.18,55.5000,not provided,not provided,not provided,,not provided,,discarded value,discarded value,not provided,,not provided,,8.080,not provided,,not provided,,3.97,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422982,PRJEB40763,PRJEB40764,PRJEB40762
OSD26_2019-06,OSD26_2019-06_NPL022_1,OSD26_2019-06_1_NPL022,OSD26,2019-06-21T11:00:00Z,35.82,-5.75,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8367,not provided,1,NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets from the coastline,not provided,1.44,49,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,23.50,not provided,11.2900,not provided,1.00,not provided,,not provided,,discarded value,discarded value,not provided,,not provided,,8.120,not provided,,not provided,,5.98,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422981,PRJEB40763,PRJEB40764,PRJEB40762
OSD39_2019-06,OSD39_2019-06_NPL022_1,OSD39_2019-06_1_NPL022,OSD39,2019-06-21T10:39:00Z,32.752858,-79.899766,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18952,off cove by South Carolina Department at Natural Resources,1,NPL022,OSD-Jun-2019,not provided,2L Nalgene bottle,Submerged under surface to fill the bottle by hand,Prokaryotic samples,1,376,Sterivex,particulate matter,not provided,0.22,no treatment,-80,28.01,21.13,33.8100,not provided,1.00,not provided,,not provided,,not provided,,not provided,,not provided,,7.770,6.72,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422980,PRJEB40763,PRJEB40764,PRJEB40762
OSD4_2019-06,OSD4_2019-06_NPL022_1,OSD4_2019-06_1_NPL022,OSD4,2019-06-21T10:20:00Z,40.808,14.25,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25611,not provided,0,NPL022,OSD-Jun-2019,not provided,Niskin bottle,not provided,not provided,1,40,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,26.00,37.11,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422987,PRJEB40763,PRJEB40764,PRJEB40762
OSD43_2019-06,OSD43_2019-06_NPL022_1,OSD43_2019-06_1_NPL022,OSD43,2019-06-21T12:10:00Z,32.86698,-117.25725,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Pier with bucket,0,NPL022,OSD-Jun-2019,not provided,Bucket (RNAse Away + Ethanol closed rihese 2x securelor),Pier wench,not provided,3,68,Sterivex,particulate matter,not provided,0.22,no treatment,-80,18.33,34.00,not provided,not provided,0.00,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422979,PRJEB40763,PRJEB40764,PRJEB40762
OSD47_2019-06,OSD47_2019-06_NPL022_1,OSD47_2019-06_1_NPL022,OSD47,2019-06-21T10:45:00Z,45.502,12.4176,lagoon [ENVO:00000038],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,UNIPD Boat,0,NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.42,4,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422978,PRJEB40763,PRJEB40764,PRJEB40762
OSD48_2019-06,OSD48_2019-06_NPL022_1,OSD48_2019-06_1_NPL022,OSD48,2019-06-21T08:28:00Z,45.4125,12.5265,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,UNIPD Boat,0,NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.66,9,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422977,PRJEB40763,PRJEB40764,PRJEB40762
OSD49_2019-06,OSD49_2019-06_NPL022_1,OSD49_2019-06_1_NPL022,OSD49,2019-06-21T12:00:00Z,45.53333333,13.55,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3385,Boja Vida,0,NPL022,OSD-Jun-2019,not provided,Sampling with boat (hired Piran Aquarium),Sampling with Niskin bottle at 5m depth (Clean bucket),Cleaning and sampling was performed according to the OSD protocol,0.5,120,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,24.70,37.10,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422976,PRJEB40763,PRJEB40764,PRJEB40762
OSD54_2019-06,OSD54_2019-06_NPL022_1,OSD54_2019-06_1_NPL022,OSD54,2019-06-21T11:35:00Z,43.844,-69.6409,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Floating Dock,1,NPL022,OSD-Jun-2019,collect samples off the Booth Bay Harbor Dock as part of a time series for DNA analysis and flow cytometry,5L Niskin Bottle,4 x 5L Niskin to fill a 20 L carboy,"Prokaryotic samples, not prefiltered",1.15,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,15.10,29.00,not provided,not provided,1.00,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422975,PRJEB40763,not provided,PRJEB40762
OSD55_2019-06,OSD55_2019-06_NPL022_1,OSD55_2019-06_1_NPL022,OSD55,2019-06-21T11:39:00Z,43.8604,-69.5781,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Floating Dock,1,NPL022,OSD-Jun-2019,collect samples of the Damariscotta river water for DNA analysis and flow cytometry,2.5L Niskin Bottle,9 x 2.5L Nisktin deployed to fill a 20L carboy,"Prokaryotic samples, not prefiltered",3,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,11.40,31.00,not provided,not provided,1.00,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422974,PRJEB40763,PRJEB40764,PRJEB40762
OSD60_2019-06,OSD60_2019-06_NPL022_1,OSD60_2019-06_1_NPL022,OSD60,2019-06-21T11:40:00Z,33.32995,-79.16611,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25365,Jon Boat,0,NPL022,OSD-Jun-2019,not provided,2L Nalgene bottles,"Hand dipped, submerged under water to fill bottle",Prokaryotic samples,0.6,86,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,26.80,34.56,52.6000,not provided,1.00,not provided,,not provided,,not provided,,not provided,,not provided,,7.820,6.68,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422973,PRJEB40763,PRJEB40764,PRJEB40762
OSD63_2019-06,OSD63_2019-06_NPL022_1,OSD63_2019-06_1_NPL022,OSD63,2019-06-21T10:00:00Z,45.31435,12.508317,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,"CNR ""LITUS"" Boat`",0,NPL022,OSD-Jun-2019,not provided,Washed bucket,not provided,not provided,1.3,40,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,25.47,32.04,49.5028,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,25.47,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422972,PRJEB40763,PRJEB40764,PRJEB40762
OSD69_2019-06,OSD69_2019-06_NPL022_1,OSD69_2019-06_1_NPL022,OSD69,2019-06-21T13:50:00Z,45.4568,12.2605,lagoon [ENVO:00000038],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3611,UNIPD Boat,0,NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.48,5,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422971,PRJEB40763,PRJEB40764,PRJEB40762
OSD70_2019-06,OSD70_2019-06_NPL022_1,OSD70_2019-06_1_NPL022,OSD70,2019-06-21T07:52:00Z,45.4142,12.4378,mediterranean sea biome [ENVO:01000047],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3610,UNIPD Boat,0,NPL022,OSD-Jun-2019,not provided,10L Bottle,Bottle immersion on sea surface by hand,not provided,0.66,10,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,not provided,not provided,not provided,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422970,PRJEB40763,PRJEB40764,PRJEB40762
OSD76_2019-06,OSD76_2019-06_NPL022_1,OSD76_2019-06_1_NPL022,OSD76,2019-06-21T10:00:00Z,43.95694444,12.93611111,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Athena Research Vessel Vilaiuo,1,NPL022,OSD-Jun-2019,prokaryotes,10L Tanks / Multiprope,Pump,not provided,0.53,20,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,25.22,33.27,50.9500,not provided,0.50,1.460,unit conversion - type 2,0.013,unit conversion - type 2,0.014,unit conversion - type 2,7.37,unit conversion - type 2,0.440,unit conversion - type 2,8.330,7.13,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422969,PRJEB40763,PRJEB40764,PRJEB40762
OSD77_2019-06,OSD77_2019-06_NPL022_1,OSD77_2019-06_1_NPL022,OSD77,2019-06-21T10:00:00Z,43.85138889,13.07305556,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Athena Research Vessel Uzlaiuo,1,NPL022,OSD-Jun-2019,prokaryotes,10L Tanks / Multiprope,Pump,not provided,0.46,20,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,26.19,33.57,50.9600,not provided,0.50,2.650,unit conversion - type 2,0.055,unit conversion - type 2,0.048,unit conversion - type 2,7.43,unit conversion - type 2,0.240,unit conversion - type 2,8.330,7.20,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422968,PRJEB40763,PRJEB40764,PRJEB40762
OSD78_2019-06,OSD78_2019-06_NPL022_1,OSD78_2019-06_1_NPL022,OSD78,2019-06-21T09:00:00Z,43.57,13.595,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,not provided,0,NPL022,OSD-Jun-2019,OSD_78_Prok,Sampling water from the beach,Tank,Clear water mass,1.1,80,Tank,sea water,not provided,0.22,no treatment,-20,24.90,35.09,53.0430,not provided,0.00,not provided,,not provided,,not provided,,not provided,,not provided,,8.480,7.19,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422967,PRJEB40763,PRJEB40764,PRJEB40762
OSD81_2019-06,OSD81_2019-06_NPL022_1,OSD81_2019-06_1_NPL022,OSD81,2019-06-07T10:20:00Z,37.00505,-7.97312,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=5349,Channel on shore,0,NPL022,OSD-Jun-2019,not provided,not provided,not provided,not provided,1.29,not provided,not provided,not provided,not provided,0.22,no treatment,-80,19.30,36.97,49.5930,not provided,0.20,not provided,,not provided,,not provided,,not provided,,not provided,,7.990,12.42,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422966,PRJEB40763,PRJEB40764,PRJEB40762
OSD91_2019-06,OSD91_2019-06_NPL022_1,OSD91_2019-06_1_NPL022,OSD91,2019-06-21T11:10:00Z,32.73853,-9.03903,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25322,not provided,1,NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation,not provided,1.05,34,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,18.20,not provided,54.4000,not provided,1.00,not provided,,not provided,,discarded value,discarded value,not provided,,not provided,,8.190,not provided,,not provided,,4.22,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422965,PRJEB40763,PRJEB40764,PRJEB40762
OSD92_2019-06,OSD92_2019-06_NPL022_1,OSD92_2019-06_1_NPL022,OSD92,2019-06-21T11:05:00Z,33.58392,-7.70064,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25322,not provided,1,NPL022,OSD-Jun-2019,not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation,not provided,1.09,43,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80,15.10,not provided,53.3000,not provided,1.00,not provided,,not provided,,discarded value,discarded value,not provided,,not provided,,8.010,not provided,,not provided,,4.15,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422964,PRJEB40763,PRJEB40764,PRJEB40762
OSD99_2019-06,OSD99_2019-06_NPL022_1,OSD99_2019-06_1_NPL022,OSD99,2019-06-19T10:20:00Z,45.7009,13.71,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,Vessel - Niskin,1,NPL022,OSD-Jun-2019,bacterial community global sampling,Niskin bottle,Niskin and acid washed tunnel,not provided,1.91,85,Sterivex,particulate matter/ sea water,no prefiltration,0.22,no treatment,-80,19.96,35.96,not provided,not provided,1.00,not provided,,not provided,,not provided,,not provided,,not provided,,8.070,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,SAMEA7422963,PRJEB40763,PRJEB40764,PRJEB40762
