Sample title,CTD_Conductivity,CTD_Fluorescence (volts),CTD_ Depth (m),Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Ammonium,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration)
OSD2_2019-06_1_NPL022,not provided,0.516,1,1.3,0.14,0.18,1.6,0.96,7.882,5.94,0.9,not provided,not provided,not provided,not provided,not provided,0.34,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD4_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD14_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,0.057,7.99,5.45,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD17_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD22_2019-06_1_NPL022,51.98,not provided,2,not provided,not provided,not provided,not provided,not provided,not provided,5.23,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD24_2019-06_1_NPL022,55.5,not provided,not provided,not provided,not provided,not provided,not provided,not provided,8.08,not provided,not provided,3.97,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD26_2019-06_1_NPL022,11.29,not provided,1,not provided,not provided,not provided,not provided,not provided,8.12,not provided,not provided,5.98,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD39_2019-06_1_NPL022,33.81,not provided,1,not provided,not provided,not provided,not provided,not provided,7.77,6.72,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD43_2019-06_1_NPL022,not provided,not provided,0,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD47_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD48_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD49_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD54_2019-06_1_NPL022,not provided,not provided,1,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD55_2019-06_1_NPL022,not provided,not provided,1,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD60_2019-06_1_NPL022,52.6,not provided,1,not provided,not provided,not provided,not provided,not provided,7.82,6.68,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD63_2019-06_1_NPL022,49.5,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,25.47,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD69_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD70_2019-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD76_2019-06_1_NPL022,50.95,not provided,0.5,1.46,0.013,0.014,7.37,0.44,8.33,7.13,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD77_2019-06_1_NPL022,50.96,not provided,0.5,2.65,0.055,0.048,7.43,0.24,8.33,7.2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD78_2019-06_1_NPL022,53.043,not provided,0,not provided,not provided,not provided,not provided,not provided,8.48,7.19,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD81_2019-06_1_NPL022,49.593,not provided,0.2,not provided,not provided,not provided,not provided,not provided,7.99,12.42,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD91_2019-06_1_NPL022,54.4,not provided,1,not provided,not provided,not provided,not provided,not provided,8.19,not provided,not provided,4.22,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD92_2019-06_1_NPL022,53.3,not provided,1,not provided,not provided,not provided,not provided,not provided,8.01,not provided,not provided,4.15,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD93_2019-06_1_NPL022,48.69,not provided,1,not provided,not provided,not provided,not provided,not provided,8.4,not provided,not provided,6.2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD99_2019-06_1_NPL022,not provided,not provided,1,not provided,not provided,not provided,not provided,not provided,8.07,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD100_2019-06_1_NPL022,40.5,not provided,1,not provided,not provided,not provided,not provided,not provided,8.2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD122_2019-06_1_NPL022,63.8844,not provided,0.5,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD152_2019-06_1_NPL022,not provided,0.687,1.7,not provided,not provided,not provided,not provided,not provided,7.04,7.5,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD153_2019-06_1_NPL022,not provided,not porovided,0.2,not provided,not provided,not provided,not provided,not provided,not provided,10.2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD159_2019-06_1_NPL022,43.077,not porovided,2,0.023,0.03,not provided,3.1,not provided,8.01,not provided,0.34,not provided,not provided,130.2,29.3,not provided,1.14 Î¼g/l,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD170_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD171_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD172_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD173_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD174_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD175_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD176_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD177_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD210_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD211_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD219_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD220_2019-06_1_NPL022,52.45,not porovided,1,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD223_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD224_2019-06_1_NPL022,not provided,not porovided,not porovided,not porovided,not provided,not provided,not provided,not provided,8.3,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD227_2019-06_1_NPL022,not provided,2.41,1.25,not porovided,not provided,not provided,not provided,not provided,not provided,not provided,1.1,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD232_2019-06_1_NPL022,56.5,not provided,0,not porovided,not provided,not provided,not provided,not provided,8.07,8.44,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD237_2019-06_1_NPL022,46.21,not provided,4,not porovided,not provided,not provided,not provided,not provided,8.38,9,not provided,0.58,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD238_2019-06_1_NPL022,46.89,not provided,9,not porovided,not provided,not provided,not provided,not provided,8.18,8.09,not provided,0.19,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided