To be published,MaterialSampleID,EventID,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_flag,Organic Matter Concentration (Amount or Mass)_DOC,Organic Matter Concentration (Amount or Mass)_DOC_flag,Pigments_Chlorophyll_a,Pigments_Chlorophyll_a_flag,Pigments_Chlorophyll_b,Pigments_Chlorophyll_b_flag,Pigments_Chlorophyll_c1,Pigments_Chlorophyll_c1_flag,Pigments_Chlorophyll_c2,Pigments_Chlorophyll_c2_flag,Pigments_Chlorophyllide_a,Pigments_Chlorophyllide_a_flag,Pigments_Diadinoxanthin,Pigments_Diadinoxanthin_flag,Pigments_Diatoxanthin,Pigments_Diatoxanthin_flag,Pigments_Fucoxanthin,Pigments_Fucoxanthin_flag,Pigments_Neoxanthin,Pigments_Neoxanthin_flag,Pigments_Peridinin,Pigments_Peridinin_flag,Pigments_Pheophorbide_a,Pigments_Pheophorbide_a_flag,Pigments_Prasinoxanthin,Pigments_Prasinoxanthin_flag,Pigments_Zeaxanthin,Pigments_Zeaxanthin_flag,Secchi_Depth,Secchi_Depth_flag,SPM,SPM_flag,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)_Pigment concentrations_flag","Organism Concentration (Amount, Volume or Mass)_Picoplankton","Organism Concentration (Amount, Volume or Mass)_Picoplankton_flag","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplankton_flag","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton_flag",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (isotope uptake)_flag,Community Production Rate_Primary Production (Oxygen),Community Production Rate_Primary Production (Oxygen)_flag,Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (isotope uptake)_flag,Community Production Rate_Bacterial Production (respiration),Community Production Rate_Bacterial Production (respiration)_flag,Community Production Rate_DN15perc,Community Production Rate_DN15perc_flag,Community Production Rate_DC13perc,Community Production Rate_DC13perc_flag,Community Production Rate_Dissolved inorganic carbon,Community Production Rate_Dissolved inorganic carbon_flag,Community Production Rate_Total alkalinity,Community Production Rate_Total alkalinity_flag,Community Production Rate_suspended material,Community Production Rate_suspended material_flag,Community Production Rate_bacteria abundance,Community Production Rate_bacteria abundance_flag
1,OSD100_2019-06_1_NPL022,OSD100_2019-06,5.8,,,,1,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD122_2019-06_1_NPL022,OSD122_2019-06,63.8844,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD14_2019-06_1_NPL022,OSD14_2019-06,,,,,,,,,,,,,,,0.057 micromol/l,,7.99,,5.455 ml/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD152_2019-06_1_NPL022,OSD152_2019-06,,,0.6871 microg/l,Given unit does not match required unit (volt).,1.7,,0.07 mg/l,Given unit does not match required unit (micromol/l).,,,,,,,,,7.04,,327.25 mol/m3,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD153_2019-06_1_NPL022,OSD153_2019-06,,,,,0.2,,,,,,,,,,,,,,102%,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD159_2019-06_1_NPL022,OSD159_2019-06,43.077,,,,2,,0.023 micromol/l,,0.03 micromol/l,,,,3.10 micromol/l,,,,8.01,,,,348,,,,,,130.2 microg/l,,29.3 microg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14 microg/l,Given unit does not match required unit (mg/m^3).,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD17_2019-06_1_NPL022,OSD17_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD170_2019-06_1_NPL022,OSD170_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD171_2019-06_1_NPL022,OSD171_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD172_2019-06_1_NPL022,OSD172_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD173_2019-06_1_NPL022,OSD173_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD174_2019-06_1_NPL022,OSD174_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD175_2019-06_1_NPL022,OSD175_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD176_2019-06_1_NPL022,OSD176_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD177_2019-06_1_NPL022,OSD177_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,OSD18_2019-06_1_NPL022,OSD18_2019-06,5.012746,,0.2995,,65,,,,,,,,,,,,8.065,,7.3529,,3.1526,,0.4621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD2_2019-06_1_NPL022,OSD2_2019-06,,,0.5163,,1,,1.3 micromol/l,,0.14 micromol/l,,0.18 micromol/l,,1.6 micromol/l,,0.96 micromol/l,,7.882,,5.94 ml/l,Given unit does not match required unit (micromol/kg).,906 photons/m2/sec,Given unit does not match required unit (mE/m^2/s).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 microg/l,,,,,,,,,,0.34 mg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD210_2019-06_1_NPL022,OSD210_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD211_2019-06_1_NPL022,OSD211_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD213_2019-06_1_NE08,OSD213_2019-06,,,,,2,,2.42204 micromol/l,,0.03971 micromol/l,,0.07056 micromol/l,,2.6248 micromol/l,,0.78232 micromol/l,,,,6.2ml/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 Î¼g/l,Given unit does not match required unit (mg/m^3).,,,"nano=56800 /l, micro=55010 /l",,,,,,,,,,,,,,,,,,,,,,,
1,OSD219_2019-06_1_NPL022,OSD219_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD22_2019-06_1_NPL022,OSD22_2019-06,51.98,,,,2,,,,,,,,,,,,,,5.23 ml/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD220_2019-06_1_NPL022,OSD220_2019-06,52.45,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD223_2019-06_1_NPL022,OSD223_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD224_2019-06_1_NPL022,OSD224_2019-06,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD227_2019-06_1_NPL022,OSD227_2019-06,,,2.41,,1.25,,,,,,,,,,,,,,,,1100 photons/m2/s,Given unit does not match required unit (mE/m^2/s).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD232_2019-06_1_NPL022,OSD232_2019-06,56.5,,,,0,,,,,,,,,,,,8.07,,8.44 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD237_2019-06_1_NPL022,OSD237_2019-06,46.2181,,,,4,,,,,,,,,,,,8.38,,9 mg/l,Given unit does not match required unit (micromol/kg).,,,0.58 FNU,,,,,,,,,,2.009 microg/l,,,,,,,,,,,,,,0.906 microg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD238_2019-06_1_NPL022,OSD238_2019-06,46.894,,,,8.5 - 9.7,,,,,,,,,,,,8.18,,8.09 mg/l,Given unit does not match required unit (micromol/kg).,,,0.19 FNU,,,,,,,,,,0.497 microg/l,,,,,,,,,,,,,,0.197 microg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD24_2019-06_1_NPL022,OSD24_2019-06,55.5,,,,,,,,,,30-50,,,,,,8.08,,,,,,3.97 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD26_2019-06_1_NPL022,OSD26_2019-06,11.29,,,,1,,,,,,30-50,,,,,,8.12,,,,,,5.98 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD39_2019-06_1_NPL022,OSD39_2019-06,33.81,,,,1,,,,,,,,,,,,7.77,,6.72 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD4_2019-06_1_NPL022,OSD4_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD43_2019-06_1_NPL022,OSD43_2019-06,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD47_2019-06_1_NPL022,OSD47_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD48_2019-06_1_NPL022,OSD48_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD49_2019-06_1_NPL022,OSD49_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD54_2019-06_1_NPL022,OSD54_2019-06,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD55_2019-06_1_NPL022,OSD55_2019-06,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD60_2019-06_1_NPL022,OSD60_2019-06,52.6,,,,1,,,,,,,,,,,,7.82,,6.68 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD63_2019-06_1_NPL022,OSD63_2019-06,49.50284601,,,,,,,,,,,,,,,,,,,,,,,,25.47294487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD69_2019-06_1_NPL022,OSD69_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD70_2019-06_1_NPL022,OSD70_2019-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD76_2019-06_1_NPL022,OSD76_2019-06,50.95,,,,0.5,,1.46 microm,Given unit does not match required unit (micromol/l).,0.013 microm,Given unit does not match required unit (micromol/l).,0.014 microm,Given unit does not match required unit (micromol/l).,7.37 microm,Given unit does not match required unit (micromol/l).,0.44 microm,Given unit does not match required unit (micromol/l).,8.33,,7.13 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD77_2019-06_1_NPL022,OSD77_2019-06,50.96,,,,0.5,,2.65 microm,Given unit does not match required unit (micromol/l).,0.055 microm,Given unit does not match required unit (micromol/l).,0.048 microm,Given unit does not match required unit (micromol/l).,7.43 microm,Given unit does not match required unit (micromol/l).,0.24 microm,Given unit does not match required unit (micromol/l).,8.33,,7.20 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD78_2019-06_1_NPL022,OSD78_2019-06,53.043,,,,0,,,,,,,,,,,,8.48,,7.19 mg/l,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD81_2019-06_1_NPL022,OSD81_2019-06,49.593,,,,0.2,,,,,,,,,,,,7.99,,124.20%,Given unit does not match required unit (micromol/kg).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD91_2019-06_1_NPL022,OSD91_2019-06,54.4,,,,1,,,,,,30-50,,,,,,8.19,,,,,,4.22 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD92_2019-06_1_NPL022,OSD92_2019-06,53.3,,,,1,,,,,,0.12 mg/l,Given unit does not match required unit (micromol/l).,,,,,8.01,,,,,,4.15 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD93_2019-06_1_NPL022,OSD93_2019-06,48.69,,,,1,,,,,,30-50,,,,,,8.4,,,,,,6.2 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OSD99_2019-06_1_NPL022,OSD99_2019-06,,,,,1,,,,,,,,,,,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
